feature_set,experiment,n_features,rmse,mae,mape,r2,spearman,n
baseline,experiment_0021,96,14.5656,11.3973,,0.5301,0.6462777776906463,28065
baseline_plus_distance,experiment_0022,99,14.5308,11.3823,,0.5324,0.6489120959968486,28065
