experiment,task,label,model,feature_set,split,rmse,mae,mape,r2,spearman,n,pr_auc,roc_auc,f1_at_best,best_threshold,precision_at_k,brier,ece,positive_rate,c_index
experiment_0004,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1.0,val,26.3115,17.2611,,0.0884,0.36039384992711654,29743,,,,,,,,,
experiment_0007,regression,next_interval_dia_delta_mm,linear,v1.0,test,22.8811,17.5372,,-0.0654,0.15463123638934595,28066,,,,,,,,,
experiment_0002,regression,next_interval_dia_delta_mm,linear,v1.0,val,27.0223,17.9916,,0.0384,0.1857087511408161,29743,,,,,,,,,
experiment_0010,regression,next_interval_dia_delta_mm,random_forest,v1.0,test,21.7713,16.4119,,0.0354,0.3495069338288004,28066,,,,,,,,,
experiment_0005,regression,next_interval_dia_delta_mm,random_forest,v1.0,val,26.196,17.1682,,0.0963,0.3613155414092407,29743,,,,,,,,,
experiment_0016,regression,next_interval_dia_delta_mm,dummy_mean,v1.1,test,24.4432,18.7391,,-0.2159,,28066,,,,,,,,,
experiment_0011,regression,next_interval_dia_delta_mm,dummy_mean,v1.1,val,28.2245,18.6804,,-0.049,,29743,,,,,,,,,
experiment_0018,regression,next_interval_dia_delta_mm,elastic_net,v1.1,test,15.9425,12.0088,,0.4828,0.6249736889596048,28066,,,,,,,,,
experiment_0013,regression,next_interval_dia_delta_mm,elastic_net,v1.1,val,22.1147,13.5782,,0.356,0.6540371210810814,29743,,,,,,,,,
experiment_0019,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1.1,test,15.7024,11.6811,,0.4982,0.6362566341110003,28066,,,,,,,,,
experiment_0014,regression,next_interval_dia_delta_mm,hist_gradient_boosting,v1.1,val,22.2135,13.3329,,0.3502,0.6623112607094194,29743,,,,,,,,,
experiment_0017,regression,next_interval_dia_delta_mm,linear,v1.1,test,15.6882,11.9931,,0.4991,0.6245207208131824,28066,,,,,,,,,
experiment_0012,regression,next_interval_dia_delta_mm,linear,v1.1,val,21.7971,13.5454,,0.3743,0.6522658715650034,29743,,,,,,,,,
experiment_0020,regression,next_interval_dia_delta_mm,random_forest,v1.1,test,15.7229,11.4115,,0.4969,0.6424877032991816,28066,,,,,,,,,
experiment_0015,regression,next_interval_dia_delta_mm,random_forest,v1.1,val,21.9899,13.1598,,0.3632,0.6671475958431811,29743,,,,,,,,,
experiment_0004,survival,time_to_next_turning_days,dummy_median_time,v1.0,test,,,,,,28066,,,,,,,,,0.0
experiment_0001,survival,time_to_next_turning_days,dummy_median_time,v1.0,val,,,,,,29743,,,,,,,,,0.0
experiment_0005,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,v1.0,test,,,,,,28066,,,,,,,,,0.5392
experiment_0002,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,v1.0,val,,,,,,29743,,,,,,,,,0.5563
experiment_0006,survival,time_to_next_turning_days,random_forest_observed_only,v1.0,test,,,,,,28066,,,,,,,,,0.5389
experiment_0003,survival,time_to_next_turning_days,random_forest_observed_only,v1.0,val,,,,,,29743,,,,,,,,,0.568
experiment_0010,survival,time_to_next_turning_days,dummy_median_time,v1.1,test,,,,,,28066,,,,,,,,,0.0
experiment_0007,survival,time_to_next_turning_days,dummy_median_time,v1.1,val,,,,,,29743,,,,,,,,,0.0
experiment_0011,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,v1.1,test,,,,,,28066,,,,,,,,,0.5434
experiment_0008,survival,time_to_next_turning_days,hist_gradient_boosting_observed_only,v1.1,val,,,,,,29743,,,,,,,,,0.5517
experiment_0012,survival,time_to_next_turning_days,random_forest_observed_only,v1.1,test,,,,,,28066,,,,,,,,,0.5429
experiment_0009,survival,time_to_next_turning_days,random_forest_observed_only,v1.1,val,,,,,,29743,,,,,,,,,0.5648
