operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-1200531-1203423,test,1,0.005,test,3.0,-1.0,-1.0,0.0,0,315.0,1.0,30730,WATE ,3.0,13.0,interval Q1,coverage Q1,wear1 Q2,wear2 Q2,0.995
OE-1200530-1203422,test,1,0.005,test,3.0,-1.0,-1.0,0.0,0,315.0,1.0,30730,WATE ,3.0,13.0,interval Q1,coverage Q1,wear1 Q2,wear2 Q2,0.995
OE-1200572-1211029,test,1,0.005,test,30.0,0.0,0.0,0.0,0,315.0,1.0,37771,IZNE,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.995
OE-1200573-1211030,test,1,0.005,test,30.0,0.0,0.0,0.0,0,315.0,1.0,37771,IZNE,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.995
OE-1200574-1211031,test,1,0.005,test,30.0,0.0,0.0,0.0,0,315.0,1.0,37771,IZNE,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.995
OE-504262-871843,test,1,0.0051,test,435.0,0.0,0.0,76.7816,0,315.0,1.0,37248,ETE,15.0,61.0,interval Q5,coverage Q4,wear1 Q3,wear2 Q3,0.9949
OE-1200570-1211027,test,1,0.0052,test,30.0,0.0,0.0,0.0,0,315.0,1.0,37771,IZNE,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.9948
OE-1200571-1211028,test,1,0.0052,test,30.0,0.0,0.0,0.0,0,315.0,1.0,37771,IZNE,,,interval Q3,coverage Q1,wear1 Q4,wear2 Q4,0.9948
OE-764844-848412,test,1,0.0052,test,75.0,0.0,0.0,100.0,0,315.0,1.0,30495,WATE ,3.0,13.0,interval Q4,coverage Q5,wear1 Q4,wear2 Q4,0.9948
OE-1186506-1203746,test,1,0.0052,test,20.0,0.0,0.0,0.0,0,315.0,1.0,30498,WATE ,3.0,11.0,interval Q2,coverage Q1,wear1 Q3,wear2 Q3,0.9948
OE-738559-854013,test,1,0.0053,test,183.0,0.0,0.0,44.2623,0,315.0,1.0,39304,KJMD,16.0,68.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9947
OE-812064-843770,test,1,0.0053,test,25.0,0.0,0.0,100.0,0,315.0,0.0,30359,RPME,14.0,59.0,interval Q3,coverage Q5,wear1 Q4,wear2 Q4,0.9947
OE-812060-843766,test,1,0.0054,test,25.0,0.0,0.0,100.0,0,315.0,0.0,30359,RPME,14.0,59.0,interval Q3,coverage Q5,wear1 Q4,wear2 Q4,0.9946
OE-812061-843767,test,1,0.0054,test,25.0,0.0,0.0,100.0,0,315.0,0.0,30359,RPME,14.0,59.0,interval Q3,coverage Q5,wear1 Q4,wear2 Q4,0.9946
OE-760781-809147,test,1,0.0054,test,45.0,0.0,0.0,100.0,0,561.0,1.0,30501,WATE ,5.0,20.0,interval Q3,coverage Q4,wear1 Q3,wear2 Q3,0.9946
OE-760783-809149,test,1,0.0054,test,45.0,0.0,0.0,100.0,0,561.0,1.0,30501,WATE ,5.0,20.0,interval Q3,coverage Q4,wear1 Q3,wear2 Q3,0.9946
OE-738560-854014,test,1,0.0056,test,183.0,0.0,0.0,44.2623,0,315.0,1.0,39304,KJMD,16.0,68.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9944
OE-738561-854015,test,1,0.0056,test,183.0,0.0,0.0,44.2623,0,315.0,1.0,39304,KJMD,16.0,68.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,0.9944
OE-1186507-1203747,test,1,0.0057,test,20.0,0.0,0.0,0.0,0,315.0,1.0,30498,WATE ,3.0,11.0,interval Q2,coverage Q1,wear1 Q3,wear2 Q3,0.9943
OE-1053019-1101125,test,1,0.0058,test,45.0,0.0,-0.7,0.0,0,315.0,0.0,37850,,9.0,34.0,interval Q4,coverage Q2,wear1 Q4,wear2 Q2,0.9942
OE-764840-848408,test,1,0.0058,test,75.0,0.0,0.0,100.0,0,315.0,1.0,30495,WATE ,3.0,13.0,interval Q4,coverage Q5,wear1 Q4,wear2 Q4,0.9942
