operational_exposure_id,split_x,y_true,y_prob,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-853796-864778,test,0,0.8482,test,5.0,-1.0,-1.0,100.0,0,315.0,1.0,37753,WATE ,,,interval Q1,coverage Q5,wear1 Q2,wear2 Q2,0.8482
OE-807292-884839,test,0,0.8481,test,64.0,-1.0,-1.0,100.0,0,315.0,1.0,30227,LDHE ,9.0,36.0,interval Q4,coverage Q5,wear1 Q2,wear2 Q2,0.8481
OE-887818-973408,test,1,0.1521,test,80.0,-13.0,-12.0,87.5,0,315.0,1.0,37848,BGKD,5.0,19.0,interval Q4,coverage Q4,wear1 Q1,wear2 Q1,0.8479
OE-902633-1004534,test,1,0.1524,test,94.0,-4.0,-4.0,98.9362,0,315.0,1.0,37759,BGKD,10.0,39.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.8476
OE-1077762-1177377,test,0,0.8475,test,103.0,-1.5,-2.0,0.0,0,315.0,0.0,37971,,1.0,1.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,0.8475
OE-890581-918382,test,0,0.8465,test,27.0,0.0,0.0,0.0,0,315.0,1.0,37850,,,,interval Q3,coverage Q2,wear1 Q4,wear2 Q4,0.8465
OE-1168039-1220198,test,1,0.1535,test,53.0,-14.0,-13.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.8465
OE-753377-1052614,test,0,0.8464,test,268.0,51.76,52.57,86.194,0,315.0,1.0,30455,SDAD ,8.0,29.0,interval Q5,coverage Q4,wear1 Q5,wear2 Q5,0.8464
OE-1187716-1199332,test,0,0.846,test,12.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.846
OE-1199332-1213538,test,0,0.846,test,14.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.846
OE-899270-1006696,test,1,0.1542,test,101.0,-8.9,-9.0,98.0198,0,315.0,1.0,37649,KJMD,13.0,53.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,0.8458
OE-890582-918383,test,0,0.8458,test,27.0,0.0,0.0,0.0,0,315.0,1.0,37850,,,,interval Q3,coverage Q2,wear1 Q4,wear2 Q4,0.8458
OE-826978-835833,test,0,0.8458,test,7.0,0.0,0.0,100.0,0,315.0,0.0,39155,BZAE,10.0,43.0,interval Q1,coverage Q5,wear1 Q5,wear2 Q5,0.8458
OE-1013289-1073181,test,0,0.8454,test,56.0,0.0,0.0,55.3571,0,315.0,0.0,30612,BZAE,16.0,63.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,0.8454
OE-1013288-1073180,test,0,0.8454,test,56.0,0.0,0.0,55.3571,0,315.0,0.0,30612,BZAE,16.0,63.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,0.8454
OE-1119692-1143897,test,0,0.8454,test,1.0,0.0,1.0,0.0,0,315.0,1.0,30221,LDHE ,7.0,26.0,interval Q1,coverage Q2,wear1 Q4,wear2 Q5,0.8454
OE-683406-774513,test,0,0.8444,test,89.0,-1.0,-1.0,77.5281,0,315.0,1.0,30523,HWHE ,4.0,16.0,interval Q4,coverage Q4,wear1 Q2,wear2 Q2,0.8444
OE-1019893-1051611,test,0,0.8442,test,29.0,0.0,0.0,89.6552,0,315.0,0.0,30605,BZAE,10.0,38.0,interval Q3,coverage Q4,wear1 Q5,wear2 Q5,0.8442
OE-947865-1028713,test,0,0.8429,test,75.0,-1.0,-1.0,100.0,0,315.0,1.0,39282,LDHE ,9.0,33.0,interval Q4,coverage Q5,wear1 Q2,wear2 Q2,0.8429
OE-879021-889510,test,0,0.8425,test,8.0,0.0,0.0,100.0,0,315.0,0.0,39176,BZAE,3.0,13.0,interval Q2,coverage Q5,wear1 Q5,wear2 Q5,0.8425
OE-1172619-1183408,test,0,0.8416,test,11.0,0.0,0.0,0.0,0,315.0,1.0,39587,,,,interval Q2,coverage Q3,wear1 Q5,wear2 Q5,0.8416
OE-887817-973407,test,1,0.1588,test,80.0,-12.0,-13.0,87.5,0,315.0,1.0,37848,BGKD,5.0,19.0,interval Q4,coverage Q4,wear1 Q1,wear2 Q1,0.8412
OE-1174177-1187715,test,0,0.841,test,15.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.841
OE-829520-869214,test,0,0.8406,test,25.0,-2.6,-1.93,0.0,0,315.0,1.0,39416,,,,interval Q3,coverage Q1,wear1 Q1,wear2 Q2,0.8406
OE-1187714-1199330,test,0,0.8403,test,12.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.8403
OE-1199330-1213536,test,0,0.8403,test,14.0,0.0,0.0,0.0,0,315.0,1.0,39491,NGCD,,,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.8403
OE-818720-842351,test,1,0.1599,test,18.0,-14.0,-14.8,0.0,0,315.0,1.0,30365,GZBE ,5.0,18.0,interval Q2,coverage Q1,wear1 Q1,wear2 Q1,0.8401
OE-107150-110400,test,0,0.8401,test,92.0,-0.87,-0.68,0.0,0,315.0,-1.0,37352,,,,interval Q5,coverage Q1,wear1 Q2,wear2 Q2,0.8401
OE-1168040-1220199,test,1,0.1601,test,53.0,-13.0,-14.0,0.0,0,315.0,1.0,30780,GMOE ,9.0,37.0,interval Q4,coverage Q1,wear1 Q1,wear2 Q1,0.8399
OE-1107401-1123405,test,0,0.8395,test,17.0,0.0,0.0,0.0,0,315.0,1.0,37882,SGUD,3.0,11.0,interval Q2,coverage Q2,wear1 Q5,wear2 Q5,0.8395
OE-835833-844363,test,0,0.8387,test,6.0,0.0,0.0,100.0,0,315.0,0.0,39155,BZAE,10.0,38.0,interval Q1,coverage Q5,wear1 Q5,wear2 Q5,0.8387
OE-896925-915950,test,0,0.8386,test,18.0,0.0,0.0,100.0,0,315.0,0.0,39174,BZAE,10.0,40.0,interval Q2,coverage Q5,wear1 Q5,wear2 Q5,0.8386
OE-880380-884406,test,0,0.8386,test,6.0,0.0,0.0,100.0,0,315.0,1.0,39020,BZAE,5.0,18.0,interval Q1,coverage Q5,wear1 Q4,wear2 Q4,0.8386
OE-998901-1109124,test,0,0.8379,test,104.0,-1.0,-1.0,43.2692,0,315.0,1.0,30382,LDHE ,7.0,26.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,0.8379
OE-992526-999014,test,0,0.8379,test,5.0,0.0,0.0,100.0,0,315.0,0.0,39020,BZAE,3.0,13.0,interval Q1,coverage Q5,wear1 Q4,wear2 Q4,0.8379
