operational_exposure_id,split_x,y_true,y_pred,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-760228-867090,test,-22.5,-100.01,test,93.0,-2.0,-2.0,0.0,0,315.0,1.0,39454,,11.0,44.0,interval Q5,coverage Q2,wear1 Q2,wear2 Q2,77.51
OE-1009010-1010266,test,-23.0,-99.8984,test,4.0,-2.5,-2.5,0.0,0,315.0,1.0,37931,,,,interval Q1,coverage Q3,wear1 Q1,wear2 Q1,76.8984
OE-1009014-1010270,test,-24.0,-99.8835,test,4.0,-2.5,-2.5,0.0,0,315.0,1.0,37931,,,,interval Q1,coverage Q3,wear1 Q1,wear2 Q1,75.8835
OE-749640-811842,test,-50.09,25.6348,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.7248
OE-610301-689884,test,75.0,-0.5626,test,101.0,-1.0,-1.0,59.4059,0,621.0,1.0,37432,HWHE ,2.0,8.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,75.5626
OE-749641-811843,test,-50.11,25.4372,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.5472
OE-749643-811845,test,-50.09,25.4372,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.5272
OE-749642-811844,test,-50.03,25.4372,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.4672
OE-873653-954704,test,-51.71,23.7565,test,89.0,0.0,0.0,98.8764,0,315.0,0.0,39489,KYNE ,15.0,60.0,interval Q4,coverage Q4,wear1 Q5,wear2 Q5,75.4665
OE-749644-811846,test,-49.92,25.4372,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.3572
OE-749645-811847,test,-49.89,25.4521,test,95.0,0.0,0.0,91.5789,0,315.0,1.0,37001,PADX,10.0,38.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,75.3421
OE-652335-653750,test,-63.0,11.4669,test,6.0,0.0,0.0,66.6667,0,315.0,1.0,39069,,5.0,18.0,interval Q1,coverage Q3,wear1 Q3,wear2 Q3,74.4669
OE-701097-727201,test,-67.0,7.3362,test,90.0,-1.0,-1.0,15.5556,0,315.0,1.0,30556,,5.0,18.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,74.3362
OE-701098-727202,test,-67.0,7.3362,test,90.0,-1.0,-1.0,15.5556,0,315.0,1.0,30556,,5.0,18.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,74.3362
OE-701099-727203,test,-67.0,7.3362,test,90.0,-1.0,-1.0,15.5556,0,315.0,1.0,30556,,5.0,18.0,interval Q5,coverage Q3,wear1 Q2,wear2 Q2,74.3362
OE-837108-853569,test,-53.38,20.7545,test,15.0,-2.0,2.0,100.0,0,315.0,1.0,39069,TATE,4.0,16.0,interval Q2,coverage Q5,wear1 Q1,wear2 Q5,74.1345
OE-652331-653746,test,-62.5,11.4342,test,6.0,-0.5,0.0,66.6667,0,315.0,1.0,39069,,5.0,18.0,interval Q1,coverage Q3,wear1 Q2,wear2 Q3,73.9342
OE-1089526-1144144,test,-49.3,24.5212,test,55.0,0.0,0.0,0.0,0,315.0,1.0,37976,KYNE ,1.0,1.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,73.8212
