column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
wsmRoadGuage3,float64,36996,3.1739,1,"[""0.0""]",False,0.0,0.0,0.0,
wsmKvalue1,float64,32531,2.7908,359,"[""0.0"", ""280.9"", ""281.8"", ""281.4"", ""281.5""]",False,0.0,27646.0,10.184746,
wsmSDistance1,float64,34463,2.9566,205,"[""0.0"", ""916.8"", ""915.8"", ""917.5"", ""917.7""]",False,0.0,1090.5,5.710637,
wheelhistflag,float64,1070432,91.832,1,"[""1.0""]",False,1.0,1.0,1.0,
wsmRoadGuage4,float64,37332,3.2027,1,"[""0.0""]",False,0.0,0.0,0.0,
wsmRoadGuage5,float64,37332,3.2027,1,"[""0.0""]",False,0.0,0.0,0.0,
wsmRoadGuage6,float64,37332,3.2027,1,"[""0.0""]",False,0.0,0.0,0.0,
wsmFlangeThickness1,float64,14298,1.2266,425,"[""32.0"", ""30.5"", ""31.5"", ""31.0"", ""30.0""]",False,-1564.0,361.7,28.052054,
wsmFlangeThickness2,float64,14292,1.2261,430,"[""30.5"", ""32.0"", ""31.0"", ""31.5"", ""28.5""]",False,-1039.5,315.0,28.058329,
OldwsmFlange1,float64,1045222,89.6693,29,"[""32.0"", ""30.5"", ""31.5"", ""31.0"", ""30.0""]",False,0.0,321.0,1.502781,
OldwsmFlange2,float64,1045222,89.6693,32,"[""30.5"", ""32.0"", ""31.0"", ""31.5"", ""28.5""]",False,-1.0,332.0,1.499828,
wsmProvDia1,float64,754796,64.7537,6385,"[""1088.0"", ""1087.0"", ""1086.0"", ""1085.0"", ""1059.0""]",False,0.0,1020352.0,845.851903,
wsmProvDia2,float64,754796,64.7537,6390,"[""1086.0"", ""1087.0"", ""1058.0"", ""1059.0"", ""1057.0""]",False,0.0,107010.0,837.953399,
wsmProvDate,datetime64[us],756627,64.9108,25308,"[""2014-10-28T00:00:00"", ""2014-10-29T00:00:00"", ""2014-10-30T00:00:00"", ""2014-10-31T00:00:00"", ""2014-11-04T00:00:00""]",False,1900-01-01T00:00:00,2025-05-04T00:00:00,,
position,object,1165641,100.0,0,[],False,,,,
wsmPrevWrId,object,1165641,100.0,0,[],False,,,,
