column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
TABLE_NAME,str,0,0.0,3,"[""EquipmentMasterRegister"", ""LocoEquipments"", ""WheelSetMeasurements""]",False,,,,
COLUMN_NAME,str,0,0.0,114,"[""EmrId"", ""EmrEquipmentType"", ""EmrSerialNo"", ""EmrEquipmentMake"", ""EmrDoR""]",False,,,,
DATA_TYPE,str,0,0.0,6,"[""int"", ""varchar"", ""datetime"", ""nvarchar"", ""float""]",False,,,,
IS_NULLABLE,str,0,0.0,2,"[""NO"", ""YES""]",False,,,,
