column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
EmrLastOverhaulingBy,float64,2373978,89.2228,66,"[""2.0"", ""215.0"", ""28.0"", ""193.0"", ""247.0""]",False,2.0,362.0,60.139158,
EmrLastRehabiliationBy,float64,2658732,99.9249,53,"[""2.0"", ""83.0"", ""247.0"", ""13.0"", ""3.0""]",False,2.0,434.0,40.244622,
EmrModel,str,2897,0.1089,128,"["""", ""TRC1000MN"", ""AM-12"", ""TRC1000MNUG"", ""LX3800""]",False,,,,
givenmake,str,2648934,99.5566,133,"[""WAG-5"", ""SIMPLEX"", ""WAG-7"", ""CLW"", ""Hirect""]",False,,,,
EmrSubProcess1DoneOn,datetime64[us],2659527,99.9547,326,"[""2017-03-22T00:00:00"", ""2017-03-21T00:00:00"", ""2019-09-13T00:00:00"", ""2016-07-07T00:00:00"", ""2017-11-08T00:00:00""]",False,1900-01-01T00:00:00,2026-04-14T00:00:00,,
EmrSubProcess1Doneat,float64,2659527,99.9547,30,"[""-1.0"", ""7.0"", ""43.0"", ""8.0"", ""3.0""]",False,-1.0,524.0,155.872093,
emrEquipmentMakeNew,float64,4691,0.1763,768,"[""106.0"", ""64.0"", ""188.0"", ""25.0"", ""39.0""]",False,-1.0,2026.0,382.760248,
EmrEquipmentCartificate,object,2660731,100.0,0,[],False,,,,
EmrEquipmentCartificate1,str,2367303,88.9719,5,"["""", ""~/App_Themes/Images/EquipmentCartificate/TG-3976.xlsx"", ""~/App_Themes/Images/EquipmentCartificate/TM.jpeg"", ""~/App_Themes/Images/EquipmentCartificate/Test.pdf"", ""~/App_Themes/Images/EquipmentCartificate/071220222.pdf""]",False,,,,
PohDate,object,2660731,100.0,0,[],False,,,,
