sign,n,rmse,mean_residual,median_exposure_avail
positive (over-predict wear),16430,11.792446298281467,9.892552394308417,0.4834449178332319
negative (under-predict wear),11635,17.698535632054796,-13.251493935110878,0.603781693167168
