calendar_year,rmse,n
2019,19.911554138577245,3
2020,23.157412571005402,2
2021,29.353956887099482,5
2022,13.66273254586747,9
2023,17.537941749727967,62
2024,18.558733316891637,622
2025,16.790050277457162,11171
2026,12.521584529429704,16191
