loco,wheelset_equipment_id,turn_no,turn_date,pre_dia,post_dia,pre_flange,post_flange,pre_root,post_root,pre_tread,post_tread,boundary_consistent,dia_ok,flange_ok,root_ok,tread_ok
37597,905689,11,2026-02-06,1048.33,1047.2800000000002,0.25,0.015,0.25,0.04,0.25,0.325,False,True,True,True,False
37597,905689,12,2026-02-06,1048.33,1047.2800000000002,0.25,0.015,0.25,0.04,0.25,0.325,False,True,True,True,False
37597,905690,1,2024-02-04,1085.0749999999998,1077.855,0.66,0.0,1.11,0.0,0.0,0.0,True,True,True,True,True
37597,905690,2,2024-02-04,1085.0749999999998,1077.855,0.66,0.0,1.11,0.0,0.0,0.0,True,True,True,True,True
37597,905690,3,2024-02-04,1085.0749999999998,1077.855,0.66,0.0,1.11,0.0,0.0,0.0,True,True,True,True,True
37597,905690,4,2024-02-04,1085.0749999999998,1077.855,0.66,0.0,1.11,0.0,0.0,0.0,True,True,True,True,True
37597,905690,5,2024-08-17,1073.3400000000001,1065.865,0.9600000000000001,0.0,0.37,0.0,0.755,0.0,True,True,True,True,True
37597,905690,6,2024-08-17,1073.3400000000001,1065.865,0.9600000000000001,0.0,0.37,0.0,0.755,0.0,True,True,True,True,True
37597,905690,7,2024-08-17,1073.3400000000001,1065.865,0.9600000000000001,0.0,0.37,0.0,0.755,0.0,True,True,True,True,True
37597,905690,8,2024-08-17,1073.3400000000001,1065.865,0.9600000000000001,0.0,0.37,0.0,0.755,0.0,True,True,True,True,True
37597,905690,9,2025-04-13,1060.4299999999998,1058.82,0.78,0.5,1.245,0.5,0.79,0.25,True,True,True,True,True
37597,905690,10,2025-04-13,1060.4299999999998,1058.82,0.78,0.5,1.245,0.5,0.79,0.25,True,True,True,True,True
37597,905690,11,2025-04-13,1060.4299999999998,1058.82,0.78,0.5,1.245,0.5,0.79,0.25,True,True,True,True,True
37597,905690,12,2025-04-13,1060.4299999999998,1058.82,0.78,0.5,1.245,0.5,0.79,0.25,True,True,True,True,True
37597,905692,1,2024-02-04,1085.5749999999998,1077.655,0.775,0.0,1.33,0.0,0.0,0.0,True,True,True,True,True
37597,905692,2,2024-02-04,1085.5749999999998,1077.655,0.775,0.0,1.33,0.0,0.0,0.0,True,True,True,True,True
37597,905692,3,2024-02-04,1085.5749999999998,1077.655,0.775,0.0,1.33,0.0,0.0,0.0,True,True,True,True,True
37597,905692,4,2024-02-04,1085.5749999999998,1077.655,0.775,0.0,1.33,0.0,0.0,0.0,True,True,True,True,True
37597,905692,5,2024-08-17,1072.415,1065.615,1.81,0.25,1.335,0.25,1.105,0.0,True,True,True,True,True
37597,905692,6,2024-08-17,1072.415,1065.615,1.81,0.25,1.335,0.25,1.105,0.0,True,True,True,True,True
37597,905692,7,2024-08-17,1072.415,1065.615,1.81,0.25,1.335,0.25,1.105,0.0,True,True,True,True,True
37597,905692,8,2024-08-17,1072.415,1065.615,1.81,0.25,1.335,0.25,1.105,0.0,True,True,True,True,True
37597,905692,9,2025-07-29,1057.825,1054.4699999999998,0.515,0.0,1.2,0.0,1.2349999999999999,0.0,True,True,True,True,True
37597,905692,10,2025-07-29,1057.825,1054.4699999999998,0.515,0.0,1.2,0.0,1.2349999999999999,0.0,True,True,True,True,True
37597,905692,11,2025-07-29,1057.825,1054.4699999999998,0.515,0.0,1.2,0.0,1.2349999999999999,0.0,True,True,True,True,True
37597,905692,12,2025-07-29,1057.825,1054.4699999999998,0.515,0.0,1.2,0.0,1.2349999999999999,0.0,True,True,True,True,True
37597,905692,13,2026-01-01,1050.8600000000001,1049.6999999999998,0.16,0.25,0.42,0.0,0.0,0.25,False,True,False,True,False
37597,905692,14,2026-01-01,1050.8600000000001,1049.6999999999998,0.16,0.25,0.42,0.0,0.0,0.25,False,True,False,True,False
37597,905692,15,2026-01-01,1050.8600000000001,1049.6999999999998,0.16,0.25,0.42,0.0,0.0,0.25,False,True,False,True,False
37597,905692,16,2026-01-01,1050.8600000000001,1049.6999999999998,0.16,0.25,0.42,0.0,0.0,0.25,False,True,False,True,False
