family,shap_sum,shap_mean,shap_share,dominant_row_fraction
behavior,0.08748945065500648,0.04374472532750324,0.0027523730013733084,0.0
geometry,8.584613907288638,0.4769229948493688,0.270067526641659,0.10030286834135044
physics,14.645775884342909,0.7322887942171454,0.46074855684241267,0.8994120791020844
maintenance,1.6172975684424773,0.06469190273769909,0.050879347501229834,0.0
operational,2.905961650677311,0.10762820928434486,0.09142005499485614,0.00017815784785319794
identity_temporal,0.6495691994654822,0.16239229986637055,0.020435112047765023,0.0
exposure_v2,2.9871752800799043,0.2715613890981731,0.0939749938959206,0.00010689470871191876
physics_v2,0.3090335167206979,0.03862918959008724,0.0097220350747833,0.0
