removed,pearson,mean_abs_displacement,loo_rmse
behavior,0.9945150369787475,1.227974224460013,14.4391
geometry,0.9937887982818641,1.2978339461316466,14.4635
physics,0.9926704717522158,1.4096447816717992,14.4394
maintenance,0.9880601293100255,1.866310470777849,14.7001
operational,0.9876647758941522,1.8927740537698674,14.5657
identity_temporal,0.9932683320109863,1.3462796163522368,14.4844
exposure_v2,0.9909897438456837,1.622160987196927,14.5118
physics_v2,0.9945109276258894,1.2212804528411556,14.4622
