column_name,data_type,null_count,null_percent,distinct_count,sample_values,is_candidate_key,minimum,maximum,mean,comments
LomId,int64,0,0.0,21727,"[""1"", ""2"", ""3"", ""4"", ""5""]",True,1,24600,12622.863856,
LomNumber,str,0,0.0,21727,"[""21107"", ""23055"", ""23067"", ""23068"", ""23092""]",True,,,,
LomType,int64,0,0.0,55,"[""2"", ""1"", ""6"", ""18"", ""4""]",False,1,61,20.599945,
LocoType,str,0,0.0,55,"[""WAG5T"", ""WAG5"", ""WAM4"", ""WAG5P"", ""WAG7""]",False,,,,
LomMake,int64,0,0.0,9,"[""1"", ""6"", ""2"", ""9"", ""11""]",False,1,14,4.254338,
LomCommissionDate,datetime64[us],339,1.5603,9086,"[""1981-09-22T00:00:00"", ""1985-05-01T00:00:00"", ""1985-02-08T00:00:00"", ""1985-08-02T00:00:00"", ""1985-12-15T00:00:00""]",False,1973-04-13T00:00:00,2026-07-24T00:00:00,,
LomStatus,int64,0,0.0,10,"[""2"", ""10"", ""4"", ""6"", ""5""]",False,1,10,5.38749,
