operational_exposure_id,y_true,y_pred10,y_pred11,error10,error11,home_shed,wheel_profile_2class,interval_days,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning
OE-738008-744108,9.61,-8.635,-39.706,18.245,49.316,TATE,1.0,4.0,100.0,0,315.0
OE-639468-719244,-62.3,-19.856,-13.065,42.444,49.235,EDE,1.0,95.0,67.368,0,315.0
OE-982461-1199815,-52.99,0.27,-3.834,53.26,49.156,ETE,1.0,233.0,36.481,0,315.0
OE-1175144-1199498,-64.04,5.035,-14.936,69.075,49.104,,1.0,25.0,0.0,0,315.0
OE-1018324-1034346,-55.0,4.223,-5.918,59.223,49.082,WATE ,1.0,14.0,0.0,0,315.0
OE-652332-653747,-62.0,11.153,-12.979,73.153,49.021,,1.0,6.0,66.667,0,315.0
OE-895182-913056,-66.58,-11.842,-17.598,54.738,48.982,WATE ,1.0,17.0,100.0,0,315.0
OE-716356-715258,-38.0,5.814,10.923,43.814,48.923,AQE  ,1.0,1.0,100.0,0,315.0
OE-611327-657932,-67.0,0.959,-18.086,67.959,48.914,,1.0,56.0,41.071,0,1270.0
OE-639153-660986,-5.97,-19.973,-54.883,14.003,48.913,,1.0,1.0,0.0,0,315.0
OE-474842-594516,-69.17,-16.28,-20.297,52.89,48.873,,1.0,160.0,76.25,0,315.0
OE-907005-947074,-69.93,-2.508,-21.061,67.422,48.869,SRCE,1.0,52.0,76.923,0,327.0
OE-503058-589590,-7.0,20.96,41.776,27.96,48.776,,1.0,114.0,77.193,0,315.0
OE-820913-826974,-42.0,-6.252,6.767,35.748,48.767,BZAE,0.0,33.0,100.0,0,315.0
OE-926998-943369,-61.5,3.82,-12.78,65.32,48.72,BZAE,0.0,9.0,88.889,0,315.0
OE-877246-909723,-47.75,7.401,0.962,55.151,48.712,WATE ,1.0,28.0,100.0,0,315.0
