horizon_days,eligible_states,eligible_fraction,events,event_rate_of_eligible,censored_non_event,unknown_followup,unknown_fraction
30,990297,0.8677057905057646,24314,0.024552230290508806,965983,150985,0.13229420949423543
90,942869,0.826149014879758,46100,0.048893324523343114,896769,198413,0.17385098512024197
180,836518,0.732963456884451,81301,0.09718977953851561,755217,304764,0.26703654311554903
365,633225,0.5548365785143374,117719,0.18590390461526313,515506,508057,0.4451634214856626
